index,title,soup
141,Iron Fist,incredible martial arts skills young man iron fist bestowed mystical force known iron fist english mandarin japanese russian korean scottbuck finnjones jessicahenwick jessicastroup action adventure crime fantasy sci-fi
142,Bron/Broen,share jurisdiction denmark right find work together body found bridge swedish saga norén killer sweden border danish inspector martin rohde bron broen swedish danish sofiahelin rafaelpettersson sarahboberg na crime mystery thriller
143,The Lord of the Rings,long emergence characters events lord confront tolkien follows new years hobbit epic drama set thousands ensemble cast earth familiar rings evil feared middle j r lord rings english patrickmckay johnd.payne cynthiaaddai-robinson maximbaldry ianblackburn adventure fantasy
144,Darkness: Those Who Kill,murderer view series thrilling periphery profiler louise constantly move around link investigator jan killings darkness kill danish inabruhn nataliemadueño kennethm.christensen tobiassantelmann crime thriller
145,Doctor Who,adventures doctor joined near death personality battles space companions changes appearance time lord regenerating aliens megalomaniacs doctor english sydneynewman williamhartnell patricktroughton jonpertwee adventure drama family sci-fi
146,The Real Housewives of Beverly Hills,follows enjoy provide country affluent women beverly hills lavish lifestyle reality series real housewives beverly hills english scottdunlop alexbaskin kathleenfrench kylerichards adriennemaloof camillegrammer reality-tv
147,Sanditon,impulsive woman charlotte heywood sanditon reinvent rural home moves seaside resort spirited fishing village attempting sanditon english andrewdavies rosewilliams krismarshall kateashfield drama romance
148,NYPD Blue,detectives nypd 15th precinct investigate homicides within nypd blue english stevenbochco davidmilch dennisfranz jimmysmits gordonclapp crime drama mystery thriller
149,Masters of Sex,sexual revolution pioneers human sexuality whose research touched science drama masters sex english michelleashford michaelsheen lizzycaplan caitlinfitzgerald drama romance
150,The Conners,"follow matriarch comedy series roseanne 1988 ), centering family members sudden death conners english davecaplan brucehelford brucerasmussen johngoodman lauriemetcalf saragilbert comedy"
151,Never Have I Ever,mindy kaling modern complicated life day first generation indian american teenage girl inspired childhood never ever english langfisher mindykaling maitreyiramakrishnan darrenbarnet poornajagannathan comedy
152,Last Week Tonight with John Oliver,persona correspondent john oliver brings former daily show host weekly news satire program last week tonight john oliver english johnoliver davidkaye ryanbarger na comedy news talk-show
153,The Dick Van Dyke Show,work home tv writer misadventures dick van dyke show english carlreiner dickvandyke marytylermoore rosemarie comedy family
154,Leave It to Beaver,family friends suburban boy misadventures leave beaver english joeconnelly bobmosher dickconway jerrymathers hughbeaumont barbarabillingsley comedy family
155,Workin' Moms,jobs friends try canada four balance different thirty family life love modern day toronto something working mothers workin moms english catherinereitman catherinereitman danikind junorinaldi comedy
