title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Black Monday,2019– ,English,9h 42min,Comedy,"Jordan Cahan,David Caspe","Don Cheadle,Andrew Rannells,Paul Scheer",SHOWTIME,http://www.sho.com/black-monday,A group of outsiders takes on the 1980s old-boys club of Wall Street.,4600,7.5,https://imdb.com/video/vi3336290329?playlistId=tt7406334&ref_=tt_ov_vi
Harley Quinn,2019– ,English,23min,"Animation,Action,Adventure,Comedy,Crime,Fantasy,Mystery","Justin Halpern,Patrick Schumacker,Dean Lorey","Kaley Cuoco,Lake Bell,Alan Tudyk",HBO Max,https://www.hbomax.com/series/urn:hbo:series:GXxis0w4EP8N_vAEAAACO,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.",16000,8.5,https://imdb.com/video/vi3487416089?playlistId=tt7658402&ref_=tt_ov_vi
JAG,1995–2005,English,1h,"Action,Crime,Drama,Mystery,Thriller",Donald P. Bellisario,"David James Elliott,Catherine Bell,Patrick Labyorteaux",,,"The cases of Harmon Rabb, former Navy fighter pilot, and his fellow lawyers of the U.S. Navy's Judge Advocate General's office.",17000,6.6,https://imdb.com/video/vi1020247321?playlistId=tt0112022&ref_=tt_ov_vi
"Beverly Hills, 90210",1990–2000,English,44min,"Drama,Romance",Darren Star,"Jason Priestley,Shannen Doherty,Luke Perry",,,"A group of friends living in Beverly Hills, California make their way through life from their school days into adulthood.",32000,6.4,https://imdb.com/video/vi1988952345?playlistId=tt0098749&ref_=tt_ov_vi
Çukur,2017–2021,Turkish,2h,"Action,Crime,Thriller","Aras Bulut Iynemli,Riza Kocaoglu,Cem Uslu",,"Facebook,Instagram","https://www.facebook.com/ResmiCukurDizisi/,https://www.instagram.com/cukurdizi/","A dangerous neighborhood, ""The Pit"", ran by a noble mafia family called Koçovars. When the family is in the danger of losing the control of The Pit, their youngest son now must come back to his home, where he could never escape from.",12000,7.4,https://imdb.com/video/vi3948067609?playlistId=tt7431994&ref_=tt_ov_vi
SpongeBob SquarePants,1999– ,"English,Spanish,Irish Gaelic,Korean",23min,"Animation,Comedy,Family,Fantasy","Stephen Hillenburg,Tim Hill,Nick Jennings","Tom Kenny,Bill Fagerbakke,Rodger Bumpass","Nick.com (United States),Official Facebook","http://spongebob.nick.com/,https://www.facebook.com/spongebob","The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple.",86000,8.2,https://imdb.com/video/vi755743257?playlistId=tt0206512&ref_=tt_ov_vi
3rd Rock from the Sun,1996–2001,English,1h,"Comedy,Family,Sci-Fi","Bonnie Turner,Terry Turner","John Lithgow,Jane Curtin,Kristen Johnston",Carsey-Werner (United States),http://www.3rdrock.com/,"A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.",48000,7.7,https://imdb.com/video/vi129237273?playlistId=tt0115082&ref_=tt_ov_vi
Parenthood,2010–2015,English,1h,"Comedy,Drama",Jason Katims,"Peter Krause,Lauren Graham,Dax Shepard",,,The lives and tragedies of the Braverman family tree.,32000,8.2,https://imdb.com/video/vi2162867481?playlistId=tt1416765&ref_=tt_ov_vi
Carnival Row,2019– ,English,56min,"Crime,Drama,Fantasy,Mystery,Thriller","Travis Beacham,René Echevarria","Orlando Bloom,Cara Delevingne,Simon McBurney",,,"A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world, where the city's uneasy peace collapses when a string of murders reveals an unimaginable monster.",49000,7.9,https://imdb.com/video/vi2035465241?playlistId=tt0489974&ref_=tt_ov_vi
We Are Lady Parts,2021– ,English,24min,"Comedy,Music",Nida Manzoor,"Anjana Vasan,Sarah Kameela Impey,Faith Omole",All 4 Site,https://www.channel4.com/programmes/we-are-lady-parts,"A look at the highs and lows of the band members that make up a Muslim female punk band, Lady Parts, as seen through the eyes of Amina Hussein, a geeky PhD student who is recruited to be their unlikely lead guitarist.",877000,7.7,https://imdb.com/video/vi483049497?playlistId=tt10846104&ref_=tt_ov_vi
